,jd,u,zu,ta,zt,rh,zq,P,Tsea,sw_dn,lw_dn,lat,lon,Zi,rain,Ss,Cp,sigH,tsg,Ts_depth,tsnk,ztsg
0,105.0,5.803600795633463,5.183000000000001,8.388496875000044,5.183000000000001,87.95025,3.802999999999998,1012.5030652539584,9.4414358675,105.0,105.0,41.5777,-70.74611,600.0,0.0,,,,9.4414358675,4.317,9.4414358675,4.317
1,105.012,5.319912237660128,5.178000000000001,8.395400260416693,5.178000000000001,87.22108333333333,3.7979999999999983,1013.1699355423748,9.459284494833334,105.012,105.012,41.5777,-70.74611,600.0,0.0,,,,9.459284494833334,4.322,9.459284494833334,4.322
2,105.024,4.806627874620456,5.197000000000001,8.369132552083329,5.197000000000001,87.29116666666665,3.8169999999999984,1013.3716518309062,9.45625483475,105.024,105.024,41.5777,-70.74611,600.0,0.0,,,,9.45625483475,4.303,9.45625483475,4.303
3,105.036,3.716813491729295,5.123500000000001,8.366896614583254,5.123500000000001,87.40375,3.7434999999999983,1013.784872369547,9.43678839,105.036,105.036,41.5777,-70.74611,600.0,0.0,,,,9.43678839,4.3765,9.43678839,4.3765
4,105.048,4.41885598550013,5.122000000000001,8.33668932291664,5.122000000000001,87.73758333333333,3.741999999999998,1013.69660900987,9.416424165583331,105.048,105.048,41.5777,-70.74611,600.0,0.0,,,,9.416424165583331,4.378,9.416424165583331,4.378
5,105.06,4.166349487940318,5.0840000000000005,8.332154166666726,5.0840000000000005,88.4965,3.703999999999998,1013.569747263552,9.396023751416664,105.06,105.06,41.5777,-70.74611,600.0,0.0,,,,9.396023751416664,4.416,9.396023751416664,4.416
6,105.072,4.538840018063029,5.0395,8.37751744791666,5.0395,89.28949999999999,3.659499999999998,1013.7654723354636,9.353096053666668,105.072,105.072,41.5777,-70.74611,600.0,0.0,,,,9.353096053666668,4.4605,9.353096053666668,4.4605
7,105.084,3.994830688346541,4.9915,8.384025000000008,4.9915,89.25941666666665,3.611499999999998,1014.0002801692968,9.32012077325,105.084,105.084,41.5777,-70.74611,600.0,0.0,,,,9.32012077325,4.5085,9.32012077325,4.5085
8,105.096,4.045540207416358,4.965000000000001,8.441345312500005,4.965000000000001,88.90225,3.584999999999998,1013.8109298809844,9.288982030916667,105.096,105.096,41.5777,-70.74611,600.0,0.0,,,,9.288982030916667,4.535,9.288982030916667,4.535
9,105.108,4.969509128280092,4.9145,8.45384973958329,4.9145,87.79074999999999,3.534499999999998,1013.864757735328,9.28371975175,105.108,105.108,41.5777,-70.74611,600.0,0.0,,,,9.28371975175,4.5855,9.28371975175,4.5855
10,105.12,5.004446793471328,4.860500000000001,8.474547916666722,4.860500000000001,87.26175,3.4804999999999984,1014.276782659599,9.281872877416664,105.12,105.12,41.5777,-70.74611,600.0,0.0,,,,9.281872877416664,4.6395,9.281872877416664,4.6395
11,105.132,4.643071681792802,4.824000000000001,8.519882031250006,4.824000000000001,87.76241666666667,3.443999999999998,1014.8253353770313,9.306867650166668,105.132,105.132,41.5777,-70.74611,600.0,0.0,,,,9.306867650166668,4.676,9.306867650166668,4.676
12,105.144,4.087524223238747,4.7125,8.556306770833316,4.7125,88.2295,3.332499999999998,1014.7778751906616,9.314500212416666,105.144,105.144,41.5777,-70.74611,600.0,0.0,,,,9.314500212416666,4.7875000000000005,9.314500212416666,4.7875000000000005
13,105.156,4.48712088823495,4.629500000000001,8.72786666666667,4.629500000000001,88.91941666666666,3.2494999999999985,1016.502175750349,9.28654749125,105.156,105.156,41.5777,-70.74611,600.0,0.0,,,,9.28654749125,4.8705,9.28654749125,4.8705
14,105.168,3.603007225429842,4.482500000000001,8.725186718750024,4.482500000000001,89.70258333333332,3.1024999999999983,1015.9458793762813,9.241360057833331,105.168,105.168,41.5777,-70.74611,600.0,0.0,,,,9.241360057833331,5.0175,9.241360057833331,5.0175
15,105.18,3.276228829524289,4.392500000000001,8.777516406250015,4.392500000000001,90.10191666666668,3.0124999999999984,1015.2968624208175,9.20830157375,105.18,105.18,41.5777,-70.74611,600.0,0.0,,,,9.20830157375,5.1075,9.20830157375,5.1075
16,105.192,,4.3315,,4.3315,90.76366666666668,2.951499999999998,1015.4106661847082,9.197553721916666,105.192,105.192,41.5777,-70.74611,600.0,0.0,,,,9.197553721916666,5.1685,9.197553721916666,5.1685
17,105.204,,4.253000000000001,,4.253000000000001,90.79475,2.8729999999999984,1016.1320284936406,9.193673529166666,105.204,105.204,41.5777,-70.74611,600.0,0.0,,,,9.193673529166666,5.247,9.193673529166666,5.247
18,105.216,,4.1755,,4.1755,90.8655,2.795499999999998,1016.4428798943228,9.18630345125,105.216,105.216,41.5777,-70.74611,600.0,0.0,,,,9.18630345125,5.3245,9.18630345125,5.3245
19,105.228,2.350715816601175,4.136000000000001,8.834132031250022,4.136000000000001,90.58125,2.7559999999999985,1016.8761892832188,9.160072854333333,105.228,105.228,41.5777,-70.74611,600.0,0.0,,,,9.160072854333333,5.364,9.160072854333333,5.364
20,105.24,2.646355135697792,4.0685,8.945717447916707,4.0685,91.32175,2.688499999999998,1016.9324693651458,9.1530183835,105.24,105.24,41.5777,-70.74611,600.0,0.0,,,,9.1530183835,5.4315,9.1530183835,5.4315
21,105.252,3.202020782071872,4.059500000000001,9.131595572916694,4.059500000000001,91.92291666666668,2.679499999999998,1016.9689977353804,9.152502563416666,105.252,105.252,41.5777,-70.74611,600.0,0.0,,,,9.152502563416666,5.4405,9.152502563416666,5.4405
22,105.264,2.936711353433071,4.047000000000001,9.258070833333363,4.047000000000001,91.84283333333336,2.666999999999998,1016.9789183709792,9.147660759416668,105.264,105.264,41.5777,-70.74611,600.0,0.0,,,,9.147660759416668,5.453,9.147660759416668,5.453
23,105.276,2.646902493431264,4.038,9.290086718750047,4.038,91.45108333333332,2.657999999999998,1016.9299588640469,9.151122767583333,105.276,105.276,41.5777,-70.74611,600.0,0.0,,,,9.151122767583333,5.462,9.151122767583333,5.462
24,105.288,3.3772427461773806,4.047500000000001,9.44941536458333,4.047500000000001,86.73088333333334,2.667499999999998,1017.2545117040936,9.159244003583334,105.288,105.288,41.5777,-70.74611,600.0,0.0,,10.133899047333111,0.1718163154892193,9.159244003583334,5.4525,9.159244003583334,5.4525
25,105.3,3.850701348848685,4.0680000000000005,9.710540104166625,4.0680000000000005,80.026875,2.687999999999998,1017.6683615226144,9.174966728333334,105.3,105.3,41.5777,-70.74611,600.0,0.0,,8.120792656221338,0.1875776060755452,9.174966728333334,5.432,9.174966728333334,5.432
26,105.312,4.051439177546055,4.073,10.040776822916655,4.073,72.85526666666668,2.6929999999999983,1017.9190014083176,9.18579487425,105.312,105.312,41.5777,-70.74611,600.0,0.0,,8.312062694199,0.210663252082856,9.18579487425,5.427,9.18579487425,5.427
